
Index    Rcvd     Predict   Expect
---------------------------------------
0        2523     2523      2523
1        2515     2515      2515
2        2055     2055      2055
3        2267     2267      2267
4        2379     2379      2379
5        2183     2183      2183
6        2003     2003      2003
7        1891     1891      1891
8        2143     2143      2143
9           0     2245      2223
10       2347     2347      2347
11       2143     2143      2143
12       1831     1831      1831
13          0     2019      2035
14          0     2207      2171
15       2395     2395      2395
16       2203     2203      2203
17       2307     2307      2307
18       2259     2259      2259
19       2335     2335      2335
20          0     2381      2371
21       2427     2427      2427
22       2303     2303      2303
23       2363     2363      2363
24       2291     2291      2291
25       2115     2115      2115
26       2075     2075      2075
27       2239     2239      2239
28       2299     2299      2299
29       2299     2299      2299
30       2219     2219      2219
31       2479     2479      2479
32       2531     2531      2531
33       2175     2175      2175
34       1979     1979      1979
35       2051     2051      2051
36       2155     2155      2155
37       2175     2175      2175
38       1431     1431      1431
39       2083     2083      2083
40          0     2267      2371
41          0     2451      2563
42       2635     2635      2635
43       2267     2267      2267
44       1911     1911      1911
45       1951     1951      1951
46       2163     2163      2163
47       2267     2267      2267
48       1891     1891      1891
49       1791     1791      1791
50       2219     2219      2219
51          0     2333      2375
52       2447     2447      2447
53       2415     2415      2415
54       2199     2199      2199
55       2003     2003      2003
56       2091     2091      2091
57          0     2124      2143
58          0     2157      2171
59          0     2190      1919
60       2223     2223      2223
61          0     2299      2295
62          0     2375      2391
63       2451     2451      2451
64       2359     2359      2359
65       1919     1919      1919
66       2147     2147      2147
67       2279     2279      2279
68       2315     2315      2315
69       1867     1867      1867
70       2147     2147      2147
71       2435     2435      2435
72       2547     2547      2547
73       2523     2523      2523
74       1951     1951      1951
75       2067     2067      2067
76       2247     2247      2247
77       2315     2315      2315
78       2103     2103      2103
79       2131     2131      2131
80       2311     2311      2311
81       2343     2343      2343
82       2447     2447      2447
83          0     2483      2475
84       2519     2519      2519
85       2227     2227      2227
86       1823     1823      1823
87       2139     2139      2139
88       2171     2171      2171
89       2315     2315      2315
90       2007     2007      2007
91       1807     1807      1807
92       2307     2307      2307
93          0     2417      2419
94       2527     2527      2527
95       2007     2007      2007
96       1823     1823      1823
97       2231     2231      2231
98       2459     2459      2459
99       1903     1903      1903
100      1451     1451      1451
101      2079     2079      2079
102      2435     2435      2435
103      2363     2363      2363
104      2407     2407      2407
105      2339     2339      2339
106      2475     2475      2475
107      2011     2011      2011
108      2007     2007      2007
109      1763     1763      1763
110      1807     1807      1807
111      2067     2067      2067
112      2259     2259      2259
113      2227     2227      2227
114      2227     2227      2227
115      1971     1971      1971
116      1467     1467      1467
117      1527     1527      1527
118      2219     2219      2219
119      2283     2283      2283
120      1927     1927      1927
121      2475     2475      2475
122      2231     2231      2231
123      2327     2327      2327
